Vardas              Pavarde             Galutinis(vid.)
Vardas1             Pavarde1            5.08              
Vardas2             Pavarde2            6.16              
Vardas3             Pavarde3            3.4               
Vardas4             Pavarde4            4.4               
Vardas5             Pavarde5            5.52              
Vardas6             Pavarde6            4.68              
Vardas7             Pavarde7            3.84              
Vardas8             Pavarde8            2.64              
Vardas9             Pavarde9            7.12              
Vardas10            Pavarde10           8.12              
Vardas11            Pavarde11           6.28              
Vardas12            Pavarde12           5.6               
Vardas13            Pavarde13           2.8               
Vardas14            Pavarde14           5.56              
Vardas15            Pavarde15           7.32              
Vardas16            Pavarde16           8.12              
Vardas17            Pavarde17           5.84              
Vardas18            Pavarde18           6.84              
Vardas19            Pavarde19           3.72              
Vardas20            Pavarde20           4.28              
Vardas21            Pavarde21           6.64              
Vardas22            Pavarde22           1.96              
Vardas23            Pavarde23           3.04              
Vardas24            Pavarde24           5.28              
Vardas25            Pavarde25           8.36              
Vardas26            Pavarde26           7.16              
Vardas27            Pavarde27           7.04              
Vardas28            Pavarde28           3.76              
Vardas29            Pavarde29           2.04              
Vardas30            Pavarde30           5.96              
Vardas31            Pavarde31           7.8               
Vardas32            Pavarde32           5.2               
Vardas33            Pavarde33           6.72              
Vardas34            Pavarde34           3.76              
Vardas35            Pavarde35           5.36              
Vardas36            Pavarde36           4.92              
Vardas37            Pavarde37           6.72              
Vardas38            Pavarde38           7.64              
Vardas39            Pavarde39           7.72              
Vardas40            Pavarde40           4.44              
Vardas41            Pavarde41           4.16              
Vardas42            Pavarde42           5.16              
Vardas43            Pavarde43           6.44              
Vardas44            Pavarde44           6.44              
Vardas45            Pavarde45           7.44              
Vardas46            Pavarde46           4.52              
Vardas47            Pavarde47           6.84              
Vardas48            Pavarde48           5.6               
Vardas49            Pavarde49           7.44              
Vardas50            Pavarde50           7.84              
Vardas51            Pavarde51           6.4               
Vardas52            Pavarde52           2.68              
Vardas53            Pavarde53           7.16              
Vardas54            Pavarde54           9.44              
Vardas55            Pavarde55           6.16              
Vardas56            Pavarde56           3.44              
Vardas57            Pavarde57           5.52              
Vardas58            Pavarde58           5.6               
Vardas59            Pavarde59           4.12              
Vardas60            Pavarde60           3.36              
Vardas61            Pavarde61           7.84              
Vardas62            Pavarde62           2.76              
Vardas63            Pavarde63           4.36              
Vardas64            Pavarde64           4.48              
Vardas65            Pavarde65           5.16              
Vardas66            Pavarde66           2.76              
Vardas67            Pavarde67           3.56              
Vardas68            Pavarde68           2.6               
Vardas69            Pavarde69           6.24              
Vardas70            Pavarde70           2.64              
Vardas71            Pavarde71           3.04              
Vardas72            Pavarde72           2.28              
Vardas73            Pavarde73           2.12              
Vardas74            Pavarde74           6.4               
Vardas75            Pavarde75           4.52              
Vardas76            Pavarde76           4.76              
Vardas77            Pavarde77           4.92              
Vardas78            Pavarde78           7.04              
Vardas79            Pavarde79           5.04              
Vardas80            Pavarde80           8.64              
Vardas81            Pavarde81           5.56              
Vardas82            Pavarde82           3.56              
Vardas83            Pavarde83           3.2               
Vardas84            Pavarde84           5.88              
Vardas85            Pavarde85           5.92              
Vardas86            Pavarde86           4                 
Vardas87            Pavarde87           3.76              
Vardas88            Pavarde88           3.8               
Vardas89            Pavarde89           5.56              
Vardas90            Pavarde90           3.08              
Vardas91            Pavarde91           2.6               
Vardas92            Pavarde92           2.44              
Vardas93            Pavarde93           7.28              
Vardas94            Pavarde94           4                 
Vardas95            Pavarde95           6.52              
Vardas96            Pavarde96           6.16              
Vardas97            Pavarde97           4.2               
Vardas98            Pavarde98           8.08              
Vardas99            Pavarde99           5.28              
Vardas100           Pavarde100          4.68              
Vardas101           Pavarde101          5.6               
Vardas102           Pavarde102          4.08              
Vardas103           Pavarde103          5.08              
Vardas104           Pavarde104          6.08              
Vardas105           Pavarde105          2.72              
Vardas106           Pavarde106          6.4               
Vardas107           Pavarde107          4.64              
Vardas108           Pavarde108          2.44              
Vardas109           Pavarde109          3.6               
Vardas110           Pavarde110          8                 
Vardas111           Pavarde111          2.04              
Vardas112           Pavarde112          6.24              
Vardas113           Pavarde113          7.56              
Vardas114           Pavarde114          7.2               
Vardas115           Pavarde115          5                 
Vardas116           Pavarde116          3.72              
Vardas117           Pavarde117          7.08              
Vardas118           Pavarde118          3.4               
Vardas119           Pavarde119          4.56              
Vardas120           Pavarde120          2.52              
Vardas121           Pavarde121          4.92              
Vardas122           Pavarde122          8                 
Vardas123           Pavarde123          7.72              
Vardas124           Pavarde124          3.64              
Vardas125           Pavarde125          6.72              
Vardas126           Pavarde126          7.64              
Vardas127           Pavarde127          3.32              
Vardas128           Pavarde128          3.84              
Vardas129           Pavarde129          5.92              
Vardas130           Pavarde130          7.52              
Vardas131           Pavarde131          4.6               
Vardas132           Pavarde132          7.48              
Vardas133           Pavarde133          2.44              
Vardas134           Pavarde134          6.92              
Vardas135           Pavarde135          8.12              
Vardas136           Pavarde136          6.32              
Vardas137           Pavarde137          3.6               
Vardas138           Pavarde138          4.44              
Vardas139           Pavarde139          4.12              
Vardas140           Pavarde140          6.24              
Vardas141           Pavarde141          6.28              
Vardas142           Pavarde142          3.88              
Vardas143           Pavarde143          3.68              
Vardas144           Pavarde144          5.72              
Vardas145           Pavarde145          3.52              
Vardas146           Pavarde146          5.08              
Vardas147           Pavarde147          5.32              
